"","authorizer","enterer","modifier","reference_no","author1init","author1last","author2init","author2last","otherauthors","pubyr","reftitle","pubtitle","editors","pubvol","pubno","firstpage","lastpage","publication_type","basis","language","doi","comments","project_name","project_ref_no","created","modified"
"241","J. Alroy","S. Kuemmell","J. Alroy",14125,"J.","Boy","","","",1990,"�ber einige Vertreter der Eryopoidea (Amphibia: Temnospondyli) aus dem europ�ischen Rotliegend (?h�chstes Karbon - Perm), 3. Onchiodon; (On some representatives of the Eryopoidea (Amphibia: Temnospondyli) from the European Rotliegend (?Uppermost Carboniferous - Permian), 3. Onchiodon)","Pal�ontologische Zeitschrift","","64","3/4","287","312","journal article","stated without evidence","German","","","5%",6520,"2005-08-10 02:15:03","2006-12-31 09:00:07"
"243","R. Butler","R. Butler","",30942,"E. B.","Branson","","","",1905,"Structure and relationships of American Labyrinthodontidae","Journal of Geology","","13","","568","610","journal article","","English","","","",NA,"2009-10-23 05:24:27","2009-10-23 23:24:27"
"245","R. Butler","R. Butler","",30843,"E. B.","Branson","M. G.","Mehl","",1929,"Triassic amphibians from the Rocky Mountain Region","The University of Missouri Studies","","4","","1","87","journal article","","English","","","",NA,"2009-10-01 02:23:32","2009-10-01 19:23:32"
"252","M. Uhen","M. Uhen","M. Uhen",14629,"A.","Bravard","","","",1858,"Monografia de los terrenos marinos terciarios, de las cercanias del Parana","Annales Museo Nacional de Buenos Aires","","3","","45","94","journal article","stated without evidence","Spanish","","This was printed in 1884, but is a reprint of Bravard 1858  ","",NA,"2005-09-23 07:57:30","2009-04-14 00:32:50"
"253","J. Alroy","J. Alroy","M. Carrano",1129,"B. H.","Breithaupt","","","",1982,"Paleontology and paleoecology of the Lance Formation (Maastrichtian), east flank of Rock Springs Uplift, Sweetwater County, Wyoming","Contributions to Geology, University of Wyoming","","21","2","123","151","journal article","stated without evidence","","","","",NA,"2001-03-02 15:01:31","2004-12-10 07:10:23"
"261","A. Behrensmeyer","A. Behrensmeyer","M. Carrano",5929,"D. B.","Brinkman","","","",1990,"Paleontology of the Judith River Formation (Campanian) of Dinosaur National Park, Alberta, Canada: evidence from vertebrate microfossil locality","Palaeogeography, Palaeoclimatology, Palaeoecology","","78","","37","54","journal article","stated without evidence","English","","ETE reference number 1710","ETE",1710,"2002-03-04 16:40:46","2005-09-20 13:31:22"
"280","J. Mueller","T. Liebrecht","T. Liebrecht",28751,"F.","Broili","","","",1904,"Permische Stegocephalen und Reptilien aus Texas","Palaeontographica","","51","","1","120","journal article","stated without evidence","German","","","",NA,"2008-12-11 07:29:15","2008-12-12 02:29:43"
"283","R. Butler","R. Butler","",47066,"F.","Broili","J.","Schr�der","",1937,"Beobachtungen an Wirbeltieren der Karrooformation. XXVII. �ber einen Capitosauriden aus der Cynognathus-Zone","Sitzungsberichte der Bayerischen Akademie der Wissenschaften, Mathematisch-naturwissenschaftliche Abteilung","","1937","","97","117","journal article","","German","","","",NA,"2013-06-06 00:59:36","2013-06-06 00:59:36"
"286","J. Mueller","T. Liebrecht","",30406,"R.","Broom","","","",1903,"On a new Stegocephalian (Batrachosuchus browni) from the Karroo Beds of Aliwal North, South Africa","Geological Magazine, New Series, Decade IV","","10","11","499","501","journal article","stated without evidence","English","","","",NA,"2009-07-22 09:21:05","2009-07-23 02:21:05"
"290","R. Butler","R. Butler","",46528,"R.","Broom","","","",1915,"On the Triassic stegocephalians, Brachyops, Bothriceps, and Lydekkerina, gen. nov.","Proceedings of the Zoological Society of London","","1915","","363","368","journal article","","English","","","",NA,"2013-04-25 18:19:30","2013-04-25 18:19:30"
"291","R. Butler","R. Butler","",46530,"R.","Broom","","","",1930,"Notes on some labyrinthodonts in the Transvaal Museum","Annals of the Transvaal Museum","","14","","1","10","journal article","","English","","","",NA,"2013-04-25 18:38:35","2013-04-25 18:38:35"
"296","R. Butler","R. Butler","",32377,"B.","Brown","","","",1933,"A new genus of Stegocephalia from the Triassic of Arizona","American Museum Novitates","","640","","1","4","journal article","","English","","","",NA,"2010-04-06 02:06:06","2010-04-06 19:06:06"
"297","R. Butler","R. Butler","",54714,"S. L.","Brusatte","R. J.","Butler","O. Mateus, J. S. Steyer",2015,"A new species of Metoposaurus from the Late Triassic of Portugal and comments on the systematics and biogeography of metoposaurid temnospondyls","Journal of Vertebrate Paleontology","","","","","","journal article","stated with evidence","English","0.1080/02724634.2014.912988","","",NA,"2015-03-24 04:24:59","2015-03-24 20:24:59"
"324","P. Mannion","P. Mannion","M. Carrano",44145,"A. M.","B�ez","R. O.","G�mez","L. C. B. Ribeiro, A. G. Martinelli, V. P. A. Teixeira, M. L. F. Ferraz",2012,"The diverse Cretaceous neobatrachian fauna of South America: Uberabatrachus carvalhoi, a new frog from the Maastrichtian Mar�lia Formation, Minas Gerais, Brazil","Gondwana Research","","22","","1141","1150","journal article","stated with evidence","English","10.1016/j.gr.2012.02.021","","",NA,"2013-01-04 00:27:17","2013-03-19 05:00:55"
"325","J. Alroy","J. Alroy","J. Alroy",28410,"A. M.","B�ez","T.","Harrison","",2005,"A new pipine frog from an Eocene crater lake in north-central Tanzania","Palaeontology","","48","4","723","737","journal article","stated with evidence","English","","","",NA,"2008-11-06 16:50:52","2008-11-07 11:51:07"
"326","J. Alroy","J. Alroy","J. Alroy",31021,"A. M.","B�ez","L.","Nicoli","",2008,"A new species of Notobatrachus (Amphibia, Salientia) from the Middle Jurassic of northwestern Patagonia","Journal of Paleontology","","82","2","372","376","journal article","stated with evidence","English","10.1666/06-117.1","","",NA,"2009-10-30 16:23:03","2009-11-02 06:30:11"
"327","M. Carrano","M. Carrano","M. Carrano",23371,"A. M.","B�ez","S.","Per�","",1989,"Baurubatrachus pricei, nov. gen. et sp., un anuro del Cretacico Superior de Minas Gerais, Brazil [Baurubatrachus pricei, nov. gen. et sp., a frog from the Upper Cretaceous of Minas Gerais, Brazil]","Anais da Academia Brasileira de Ci�ncias","","61","4","447","458","journal article","stated with evidence","Spanish","","","ETE",NA,"2007-03-01 11:00:10","2008-08-22 04:34:49"
"328","J. Alroy","J. Alroy","",28411,"A. M.","B�ez","L. A.","Pugener","",2003,"Ontogeny of a new Palaeogene pipid frog from southern South America and xenopodinomorph evolution","Zoological Journal of the Linnean Society","","139","3","439","476","journal article","stated with evidence","English","","","",NA,"2008-11-06 17:23:10","2008-11-07 12:23:10"
"329","J. Alroy","J. Alroy","",31023,"A. M.","B�ez","J.-C.","Rage","",1998,"Pipid frogs from the Upper Cretaceous of In Beceten, Niger","Palaeontology","","41","4","669","691","journal article","stated with evidence","English","","","",NA,"2009-10-31 15:31:34","2009-11-01 09:31:34"
"330","P. Mannion","P. Mannion","",37879,"A. M.","B�ez","B.","Sanchiz","",2007,"A review of Neusibatrachus wilferti, an Early Cretaceous frog from the Montsec Range, northeastern Spain","Acta Palaeontologica Polonica","","52","3","477","487","journal article","stated with evidence","English","","","",NA,"2011-09-27 20:59:48","2011-09-27 20:59:48"
"331","P. Mannion","P. Mannion","P. Mannion",37566,"A. M.","B�ez","L.","Trueb","J. O. Calvo",2000,"The earliest known pipoid frog from South America: a new genus from the Middle Cretaceous of Argentina","Journal of Vertebrate Paleontology","","20","3","490","500","journal article","stated with evidence","English","","","",NA,"2011-09-10 02:41:45","2011-09-27 20:39:05"
"333","J. Mueller","T. Liebrecht","T. Liebrecht",46985,"M.","B�hme","","","",2008,"Ectothermic vertebrates (Teleostei, Allocaudata, Urodela, Anura, Testudines, Choristodera, Crocodylia, Squamata) from the Upper Oligocene of Oberleichtersbach (Northern Bavaria, Germany)","Courier Forschungsinstitut Senckenberg","","260","","161","183","journal article","stated without evidence","English","","","",NA,"2013-05-30 22:41:46","2013-05-30 22:42:02"
"334","J. Mueller","T. Liebrecht","",43888,"M.","B�hme","","","",2010,"Ectothermic vertebrates (Actinopterygii, Allocaudata, Urodela, Anura, Crocodylia, Squamata) from the Miocene of Sandelzhausen (Germany, Bavaria) and their implications for environment reconstruction and palaeoclimate","Pal�ontologische Zeitschrift","","84","1","3","41","journal article","stated without evidence","English","10.1007/s12542-010-0050-4","","",NA,"2012-12-12 23:33:29","2012-12-12 23:33:29"
"351","W. Dahdul","A. Dececchi","M. Carrano",42433,"K. J.","Carlson","","","",1987,"Perryella, a new temnospondylous amphibian from the Lower Permian of Oklahoma","Journal of Paleontology","","61","1","135","147","journal article","stated with evidence","English","","","",NA,"2012-07-25 05:14:08","2014-10-11 07:57:53"
"353","J. Alroy","M. Sommers","",717,"K.","Carpenter","","","",1979,"Vertebrate fauna of the Laramie Formation (Maestrichtian), Weld County, Colorado","Contributions to Geology, University of Wyoming","","17","1","37","49","","stated without evidence","","","","",NA,"2000-08-28 13:18:41","2000-08-29 07:18:41"
"367","J. Mueller","T. Liebrecht","",28837,"R. L.","Carroll","","","",1991,"Batropetes from the Lower Permian of Europe - a Microsaur, not a Reptile","Journal of Vertebrate Paleontology","","11","2","229","242","journal article","stated without evidence","English","","","",NA,"2008-12-21 09:22:12","2008-12-22 04:22:12"
"370","J. Mueller","T. Liebrecht","T. Liebrecht",28692,"R. L.","Carroll","P.","Gaskill","",1978,"The Order Microsauria","Memoirs of the American Philosophical Society","","126","","1","211","serial monograph","stated with evidence","English","","","",NA,"2008-12-07 16:37:39","2011-10-19 06:04:38"
"375","J. Mueller","T. Liebrecht","M. Carrano",28729,"E. C.","Case","","","",1910,"New or little known reptiles and amphibians from the Permian (?) of Texas","Bulletin of the American Museum of Natural History","","28","","163","181","serial monograph","stated with evidence","English","","","",NA,"2008-12-09 16:25:28","2011-08-10 05:16:12"
"378","M. Carrano","M. Carrano","M. Carrano",37028,"E. C.","Case","","","",1920,"On a very perfect thoracic shield of a large labyrinthodont in the geological collections of the University of Michigan","Occasional Papers of the Museum of Zoology, University of Michigan","","82","","1","3","serial monograph","stated with evidence","English","","","",NA,"2011-08-10 05:31:33","2011-08-10 05:34:14"
"381","M. Carrano","M. Carrano","",24339,"E. C.","Case","","","",1922,"New reptiles and stegocephalians from the Upper Triassic of western Texas","Carnegie Institute of Washington Publication","","221","","1","84","serial monograph","stated without evidence","English","","","ETE",NA,"2007-05-18 12:58:17","2007-05-19 05:58:17"
"399","J. Alroy","J. Alroy","J. Alroy",7555,"C. J.","Chantell","","","",1964,"Some Mio-Pliocene hylids from the Valentine Formation of Nebraska","American Midland Naturalist","","72","1","211","225","journal article","stated without evidence","English","","","",NA,"2002-12-03 14:53:22","2002-12-04 09:53:22"
"403","R. Butler","E. Dunne","",58054,"J. N.","Chase","","","",1965,"Neldasaurus wrightae, a new rhachitomous labyrinthodont from the Texas Lower Permian","Bulletin of the Museum of Comparative Zoology","","133","","153","225","journal article","stated without evidence","English","","","",NA,"2016-02-12 03:54:50","2016-02-12 20:54:50"
"414","P. Mannion","P. Mannion","",57585,"J.","Chen","G. S.","Bever","H.-Y. Yi, M. A. Norell",2016,"A burrowing frog from the late Paleocene of Mongolia uncovers a deep history of spadefoot toads (Pelobatoidea) in East Asia","Scientific Reports","","6","","19209:1","7","journal article","stated with evidence","English","10.1038/srep19209","","",NA,"2016-01-12 09:13:15","2016-01-13 02:13:15"
"418","R. Butler","R. Butler","",34187,"S.","Chernin","","","",1977,"A new brachyopid, Batrachosuchus concordi sp. nov. from the Upper Luangwa Valley, Zambia with a redescription of Batrachosuchus browni Broom, 1903","Palaeontologia africana","","20","","87","109","journal article","stated with evidence","English","","","",NA,"2010-11-11 04:13:19","2010-11-11 04:13:19"
"419","R. Butler","R. Butler","",47049,"S.","Chernin","","","",1978,"Three capitosaurs from the Triassic of South Africa: Parotosuchus africanus (Broom 1909); Kestrosaurus dreyeri Haughton 1925, and Parotosuchus dirus sp. nov.","Palaeontologia africana","","21","","79","100","journal article","stated with evidence","English","","","",NA,"2013-06-05 00:47:19","2013-06-05 00:47:19"
"424","R. Butler","R. Butler","R. Butler",43701,"T. R.","Chowdhury","","","",1970,"A new capitosaurid amphibian from the Triassic Yerrapalli Formation fo the Panhita-Godavari Valley","Journal of the Geological Society of India","","11","2","155","162","journal article","stated with evidence","English","","","",NA,"2012-11-30 19:53:37","2012-11-30 19:54:27"
"435","J. Alroy","J. Alroy","M. Carrano",1219,"R. L.","Cifelli","J. D.","Gardner","R. L. Nydam, D. L. Brinkman",1997,"Additions to the vertebrate fauna of the Antlers Formation (Lower Cretaceous), southeastern Oklahoma","Oklahoma Geology Notes","","57","4","124","131","journal article","stated without evidence","","","","ETE",NA,"2001-03-02 15:01:31","2005-01-20 07:03:06"
"462","R. Butler","R. Butler","",43611,"E. H.","Colbert","J. W.","Cosgriff","",1974,"Labyrinthodont amphibians from Antarctica","American Museum Novitates","","2552","","1","30","journal article","stated with evidence","English","","","",NA,"2012-11-27 19:29:50","2012-11-27 19:29:50"
"474","M. Carrano","M. Carrano","M. Carrano",15618,"E. D.","Cope","","","",1866,"[A few observations on some of the extinct vertebrates of the Mesozoic Red Sandstone]","Proceedings of the Academy of Natural Sciences of Philadelphia","","18","","249","250","journal article","stated without evidence","English","","","ETE",NA,"2006-01-19 14:37:36","2006-01-20 09:51:11"
"475","J. Mueller","T. Liebrecht","T. Liebrecht",28717,"E. D.","Cope","","","",1868,"Synopsis of the Extinct Batrachia of North America","Proceedings of the Academy of Natural Sciences of Philadelphia","","1868","","208","221","journal article","stated without evidence","English","","","",NA,"2008-12-09 11:02:13","2009-01-14 15:58:14"
"478","M. Carrano","M. Carrano","M. Carrano",17702,"E. D.","Cope","","","",1882,"Third contribution to the history of the Vertebrata of the Permian formation of Texas","Proceedings of the American Philosophical Society","","20","","447","461","journal article","stated with evidence","English","","also: Palaeontological Bulletin No. 35. November 1882 (day not given)","ETE",NA,"2006-06-09 12:12:40","2014-11-13 10:06:47"
"483","M. Carrano","M. Carrano","",54069,"E. D.","Cope","","","",1895,"A batrachian armadillo","The American Naturalist","","29","","998","","journal article","stated with evidence","English","","printed 1 November 1895","",NA,"2015-01-16 14:57:59","2015-01-17 07:57:59"
"484","J. Mueller","T. Liebrecht","M. Carrano",28342,"E. D.","Cope","","","",1896,"The reptilian order Cotylosauria","Proceedings of the American Philosophical Society","","34","","436","457","journal article","stated without evidence","English","","issue date 15 November 1895; print date 24 February 1896","",NA,"2008-10-29 10:45:31","2015-01-17 08:22:45"
"486","J. Mueller","T. Liebrecht","M. Carrano",28740,"E. D.","Cope","","","",1897,"On New Paleozoic Vertebrata from Illinois, Ohio and Pennsylvania","Proceedings of the American Philosophical Society","","36","","71","91","journal article","stated with evidence","English","","presented 5 February 1897; printed 18 May 1897","",NA,"2008-12-10 15:24:45","2015-01-22 09:13:25"
"488","R. Butler","R. Butler","",43676,"J. W.","Cosgriff","","","",1965,"A new genus of Temnospondyli from the Triassic of Western Australia","Journal of the Royal Society of Western Australia","","48","","65","90","journal article","stated with evidence","English","","","",NA,"2012-11-29 20:22:37","2012-11-29 20:22:37"
"489","R. Butler","R. Butler","",43684,"J. W.","Cosgriff","","","",1969,"Blinasaurus, a brachyopid genus from Western Australia and New South Wales","Journal of the Royal Society of Western Australia","","52","3","65","88","journal article","stated with evidence","English","","","",NA,"2012-11-30 03:15:39","2012-11-30 03:15:39"
"492","R. Butler","R. Butler","",43692,"J. W.","Cosgriff","","","",1974,"Lower Triassic Temnospondyli of Tasmania","The Geological Society of America, Special Paper","","149","","1","134","serial monograph","stated with evidence","English","","","",NA,"2012-11-30 06:29:37","2012-11-30 06:29:37"
"508","M. Carrano","M. Carrano","",37254,"Z.","Csiki","A.","Ionescu","D. Grigorescu",2008,"The Budurone microvertebrate site from the Maastrichtian of the Hateg Basin � flora, fauna, taphonomy and paleoenvironment","Acta Palaeontologica Romaniae","","6","","49","66","journal article","stated without evidence","English","","","",NA,"2011-08-27 06:16:11","2011-08-27 06:16:11"
"522","M. Carrano","M. Carrano","M. Carrano",14253,"N. J.","Czaplewski","R. L.","Cifelli","W. Langston Jr.",1994,"Catalog of type and figured fossil vertebrates, Oklahoma Museum of Natural History","Oklahoma Geological Survey Special Publication","","94-1","","1","35","serial monograph","stated without evidence","English","","","ETE",NA,"2005-08-25 13:29:40","2005-08-26 06:29:40"
"535","J. Alroy","J. Alroy","",19411,"E.","Daly","","","",1973,"A Lower Permian vertebrate fauna from southern Oklahoma","Journal of Paleontology","","47","3","562","589","journal article","stated with evidence","English","","","",NA,"2006-12-15 16:35:54","2006-12-16 11:35:54"
"537","J. Mueller","T. Liebrecht","",30410,"R. J.","Damiani","","","",2001,"A systematic revision and phylogenetic analysis of Triassic mastodonsauroids (Temnospondyli: Stereospondyli)","Zoological Journal of the Linnean Society","","133","4","379","482","journal article","stated without evidence","English","10.1006/zjls.2001.0304","","",NA,"2009-07-23 03:50:04","2009-07-23 20:50:04"
"539","M. Clapham","C. Feng","R. Butler",38019,"R.","Damiani","","","",2004,"Cranial anatomy and relationships of Microposaurus casei, a temnospondyl from the Middle Triassic of South Africa","Journal of Vertebrate Paleontology","","24","3","533","541","journal article","stated with evidence","English","","","",NA,"2011-10-05 08:18:25","2013-05-04 01:10:48"
"541","R. Butler","R. Butler","",32693,"R. J.","Damiani","P. J.","Hancox","",2003,"New mastodonsaurid temnospondyls from the Cynognathus Assemblage Zone (Upper Beaufort Group; Karoo Basin) of South Africa","Journal of Vertebrate Paleontology","","23","1","54","66","journal article","stated with evidence","English","","","",NA,"2010-06-01 01:14:26","2010-06-01 18:14:26"
"542","R. Butler","R. Butler","",47045,"R. J.","Damiani","A. M.","Jeannot","",2002,"A brachyopid temnospondyl from the Lower Cynognathus Assemblage Zone in the northern Karoo Basin, South Africa","Palaeontologia africana","","38","","57","69","journal article","stated with evidence","English","","","",NA,"2013-06-04 23:11:26","2013-06-04 23:11:26"
"543","R. Butler","R. Butler","",32694,"R. J.","Damiani","J. W.","Kitching","",2003,"A new brachyopid temnospondyl from the Cynognathus Assemblage Zone, upper Beaufort Group, South Africa","Journal of Vertebrate Paleontology","","23","1","67","78","journal article","stated with evidence","English","","","",NA,"2010-06-01 01:59:34","2010-06-01 18:59:34"
