species,genus,family,order,occurrence_no,occurrence.reference_no
Dvinosaurus primus,Dvinosaurus,Dvinosauria,Temnospondyli,1163741,47937
Dvinosaurus primus,Dvinosaurus,Dvinosauria,Temnospondyli,388988,9972
Dvinosaurus secundus,Dvinosaurus,Dvinosauria,Temnospondyli,388990,9972
Dvinosaurus secundus,Dvinosaurus,Dvinosauria,Temnospondyli,388989,9972
Elfridia bulbidens,Elfridia,Gymnarthridae,Lepospondyli,832562,31089
Eopelobates anthracinus,Eopelobates,Pelobatidae,Salientia,365724,9162
Eopelobates anthracinus,Eopelobates,Pelobatidae,Salientia,785706,4366
Eopelobates bayeri,Eopelobates,Pelobatidae,Salientia,652737,23644
Eopelobates hinschei,Eopelobates,Pelobatidae,Salientia,456627,11714
Eoxenopoides reuningi,Eoxenopoides,NA,Salientia,832125,15044
Eryops megacephalus,Eryops,Eryopidae,Temnospondyli,787459,28557
Gerrothorax new species,Gerrothorax,Plagiosauridae,Temnospondyli,929781,33823
Gracilibatrachus avallei,Gracilibatrachus,NA,Salientia,1094489,44133
Habrosaurus dilatus,Habrosaurus,Sirenidae,Urodela,287923,774
Hatzegobatrachus grigorescui,Hatzegobatrachus,NA,Salientia,972196,37358
Hemiprichisaurus keuperinus,Hemiprichisaurus,NA,NA,1104070,44850
Hensonbatrachus kermiti,Hensonbatrachus,NA,Salientia,1292579,56071
Hensonbatrachus kermiti,Hensonbatrachus,NA,Salientia,1292578,56071
Hensonbatrachus kermiti,Hensonbatrachus,NA,Salientia,1292577,56071
Hensonbatrachus kermiti,Hensonbatrachus,NA,Salientia,1292580,56071
Hensonbatrachus kermiti,Hensonbatrachus,NA,Salientia,1292581,56071
Ichthyerpeton squamosum,Ichthyerpeton,Colosteidae,NA,963876,28743
Indobatrachus pusillus,Indobatrachus,Bufonidae,Salientia,831816,30965
Intasuchus silvicola,Intasuchus,Intasuchidae,Temnospondyli,800079,5921
Karaurus sharovi,Karaurus,Karauridae,Urodela,984112,37918
Kiyatriton leshchinskiyi,Kiyatriton,NA,Urodela,1115476,45983
Konzhukovia vetusta,Konzhukovia,Archegosauridae,Temnospondyli,790215,14547
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,572543,17273
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,407765,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,837165,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,407774,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,838835,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,838863,14122
Koskinonodon perfectus,Koskinonodon,Metoposauridae,Temnospondyli,782200,14122
Labyrinthodon panchetensis,Labyrinthodon,Stereospondyli,Temnospondyli,1307366,57226
Laidleria gracilis,Laidleria,NA,Temnospondyli,1132297,46605
Latiscopus disjunctus,Latiscopus,Almasauridae,Temnospondyli,490778,43403
Lechriodus casca,Lechriodus,Leptodactylidae,Salientia,1309302,57503
Lechriodus intergerivus,Lechriodus,Leptodactylidae,Salientia,638996,19849
Lehahichnus coquinaris,Lehahichnus,NA,NA,780863,28154
Lethiscus stocki,Lethiscus,Lethiscidae,Lepospondyli,1302352,56770
Liaobatrachus beipiaoensis,Liaobatrachus,NA,Salientia,832123,31024
Liaobatrachus zhaoi,Liaobatrachus,NA,Salientia,1093730,47770
Llankibatrachus truebae,Llankibatrachus,Pipidae,Salientia,785719,28411
Llankibatrachus truebae,Llankibatrachus,Pipidae,Salientia,785715,28411
Lyrocephaliscus euri,Lyrocephaliscus,Lyrocephaliscidae,Temnospondyli,1131896,46568
Lyrocephaliscus euri,Lyrocephaliscus,Lyrocephaliscidae,Temnospondyli,1131895,46568
Lyrocephaliscus euri,Lyrocephaliscus,Lyrocephaliscidae,Temnospondyli,1131898,46568
Lysorophus tricarinatus,Lysorophus,Lysorophidae,Lepospondyli,787462,28557
Macropelobates osborni,Macropelobates,Pelobatidae,Salientia,831817,30967
Mahavisaurus dentatus,Mahavisaurus,Rhytidosteidae,Temnospondyli,1132147,46587
Mastodonsaurus giganteus,Mastodonsaurus,NA,Temnospondyli,929782,33823
Mastodonsaurus giganteus,Mastodonsaurus,NA,Temnospondyli,929804,33823
Mastodonsaurus lavisi,Mastodonsaurus,Mastodonsauridae,Temnospondyli,363119,9050
Mastodonsaurus torvus,Mastodonsaurus,NA,Temnospondyli,877795,28844
Matthewichnus caudifer,Matthewichnus,NA,Temnospondyli,762761,27502
Megamolgophis agostini,Megamolgophis,Lysorophidae,Lepospondyli,1037627,41252
Melanerpeton pulcherrimum,Melanerpeton,Branchiosauridae,Temnospondyli,559542,15696
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,880951,31149
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,773661,27875
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,881093,33402
Metoposaurus diagnosticus,Metoposaurus,Metoposauridae,Temnospondyli,584070,27868
Metoposaurus fraasi,Metoposaurus,Metoposauridae,Temnospondyli,782186,12932
Metoposaurus fraasi,Metoposaurus,Metoposauridae,Temnospondyli,782178,12930
Miopelodytes gilmorei,Miopelodytes,Pelodytidae,Salientia,831818,30968
Nanopus reidiae,Nanopus,NA,Temnospondyli,762762,27502
Neusibatrachus wilferti,Neusibatrachus,NA,Salientia,983526,37879
Notobatrachus degiustoi,Notobatrachus,NA,Salientia,832122,31021
Notobatrachus reigi,Notobatrachus,NA,Salientia,832127,31021
Onchiodon labyrinthicus,Onchiodon,Eryopidae,Temnospondyli,517728,14125
Opisthotriton kayi,Opisthotriton,Batrachosauroididae,Urodela,287921,774
Osteophorus typus,Osteophorus,Actinodontidae,Temnospondyli,530081,14629
Parotosuchus orientalis,Parotosuchus,NA,Temnospondyli,840366,28844
Plagioscutum caspiense,Plagioscutum,Plagiosauridae,Temnospondyli,789770,28844
Plagioscutum ochevi,Plagioscutum,Plagiosauridae,Temnospondyli,877630,28844
Plagioscutum ochevi,Plagioscutum,Plagiosauridae,Temnospondyli,877603,28844
Plagioscutum ochevi,Plagioscutum,Plagiosauridae,Temnospondyli,839582,28844
Plagioscutum ochevi,Plagioscutum,Plagiosauridae,Temnospondyli,877636,28844
Plagiosternum paraboliceps,Plagiosternum,Plagiosauridae,Temnospondyli,877650,28844
Plagiosternum paraboliceps,Plagiosternum,Plagiosauridae,Temnospondyli,877609,28844
Puertollanopus omicrodactylus,Puertollanopus,NA,Lepospondyli,699400,25351
Rana basaltica,Rana,Ranidae,Salientia,428386,17731
Rana carbonicola,Rana,Ranidae,Salientia,456628,11714
Regalerpeton weichangensis,Regalerpeton,NA,Urodela,831965,30990
Rhadalognathus boweni,Rhadalognathus,Heylerosauridae,Temnospondyli,368797,9311
Rhadinosteus parvus,Rhadinosteus,Rhinophrynidae,Salientia,574036,17758
Rhytidosteus capensis,Rhytidosteus,Rhytidosteidae,Temnospondyli,840368,28844
Rotaryus gothae,Rotaryus,Trematopidae,Temnospondyli,1016620,40304
Rubeostratilia texensis,Rubeostratilia,Amphibamidae,Temnospondyli,964693,36836
Salamandra sansaniensis,Salamandra,Salamandridae,Urodela,652741,23644
Saltenia ibanezi,Saltenia,Pipidae,Salientia,832131,31028
Saltenia ibanezi,Saltenia,Pipidae,Salientia,1072620,42876
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,287922,774
Scapherpeton tectum,Scapherpeton,Scapherpetontidae,Urodela,488985,803
Seminobatrachus boltyschkensis,Seminobatrachus,NA,Urodela,1071588,42822
Shelania laurenti,Shelania,Pipidae,Salientia,460647,11767
Shelania pascuali,Shelania,Pipidae,Salientia,832129,31028
Shelania pascuali,Shelania,Pipidae,Salientia,832130,31028
Shomronella jordanica,Shomronella,Pipidae,Salientia,784114,28313
Siderops kehli,Siderops,Chigutisauridae,Temnospondyli,719242,43609
Singidella latecostata,Singidella,NA,Salientia,785707,28410
Siren hesterna,Siren,Sirenidae,Urodela,1200529,50692
Sunnybatrachus purbeckensis,Sunnybatrachus,NA,Salientia,831962,30987
Syndyodosuchus tetricus,Syndyodosuchus,Intasuchidae,Temnospondyli,800080,5921
Triadobatrachus massinoti,Triadobatrachus,NA,Salientia,831989,30996
Trimerorhachis insignis,Trimerorhachis,NA,Temnospondyli,787458,28557
Tylototriton primigenius,Tylototriton,Salamandridae,Urodela,785827,28416
Tyrrellbatrachus brinkmani,Tyrrellbatrachus,NA,Salientia,1291764,56016
Tyrrellbatrachus brinkmani,Tyrrellbatrachus,NA,Salientia,1291762,56016
Tyrrellbatrachus brinkmani,Tyrrellbatrachus,NA,Salientia,1291763,56016
Tyrrellbatrachus brinkmani,Tyrrellbatrachus,NA,Salientia,479731,56016
Valdotriton gracilis,Valdotriton,NA,Urodela,293801,25847
Vyborosaurus mirus,Vyborosaurus,Benthosuchidae,Temnospondyli,411696,10285
Wawelia gerholdi,Wawelia,Ceratophryidae,Salientia,832124,31025
Wellesaurus peabodyi,Wellesaurus,Mastodonsauridae,Temnospondyli,855777,32378
Wellesaurus peabodyi,Wellesaurus,Mastodonsauridae,Temnospondyli,855781,32378
Wetlugasaurus malachovi,Wetlugasaurus,NA,Temnospondyli,411694,10285
Xenopus arabiensis,Xenopus,Pipidae,Salientia,699433,25356
Zatrachys conchigerus,Zatrachys,Zatracheidae,Temnospondyli,296138,7693
Zatrachys microphthalmus,Zatrachys,Zatracheidae,Temnospondyli,296027,7693
Zatrachys serratus,Zatrachys,Zatracheidae,Temnospondyli,1021845,40605
Avitabatrachus uliana,Avitabatrachus,NA,Lepospondyli,977164,37566
Aspidosaurus chiton,Aspidosaurus,Dissorophidae,Temnospondyli,296026,7693
Arariphrynus placidoi,Arariphrynus,NA,Salientia,832082,31011
